"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Gender"	"Gender Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Male"	"M"	"1-4 years"	"1-4"	107	556105	19.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Male"	"M"	"5-9 years"	"5-9"	70	762027	9.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Male"	"M"	"10-14 years"	"10-14"	94	830324	11.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Male"	"M"	"15-19 years"	"15-19"	363	905326	40.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Male"	"M"	"20-24 years"	"20-24"	932	863993	107.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Male"	"M"	"25-34 years"	"25-34"	2135	1532550	139.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Male"	"M"	"35-44 years"	"35-44"	2880	1536948	187.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Male"	"M"	"45-54 years"	"45-54"	7541	1884951	400.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Male"	"M"	"55-64 years"	"55-64"	13526	1612123	839.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Male"	"M"	"65-74 years"	"65-74"	17119	945800	1810.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Male"	"M"	"75-84 years"	"75-84"	24088	476700	5053.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Male"	"M"	"85+ years"	"85+"	30493	201308	15147.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Male"	"M"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Female"	"F"	"< 1 year"	"1"	264	43483	607.1
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Female"	"F"	"1-4 years"	"1-4"	36	182182	19.8
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Female"	"F"	"5-9 years"	"5-9"	22	244938	9.0
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Female"	"F"	"10-14 years"	"10-14"	27	258752	10.4
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Female"	"F"	"15-19 years"	"15-19"	79	283510	27.9
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Female"	"F"	"20-24 years"	"20-24"	129	270807	47.6
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Female"	"F"	"25-34 years"	"25-34"	343	529264	64.8
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Female"	"F"	"35-44 years"	"35-44"	723	565758	127.8
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Female"	"F"	"45-54 years"	"45-54"	2013	732528	274.8
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Female"	"F"	"55-64 years"	"55-64"	4173	731171	570.7
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Female"	"F"	"65-74 years"	"65-74"	6917	481158	1437.6
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Female"	"F"	"75-84 years"	"75-84"	11944	279898	4267.3
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Female"	"F"	"85+ years"	"85+"	20473	143775	14239.6
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Male"	"M"	"< 1 year"	"1"	307	46245	663.9
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Male"	"M"	"1-4 years"	"1-4"	41	192620	21.3
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Male"	"M"	"5-9 years"	"5-9"	37	258693	14.3
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Male"	"M"	"10-14 years"	"10-14"	39	273055	14.3
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Male"	"M"	"15-19 years"	"15-19"	200	301627	66.3
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Male"	"M"	"20-24 years"	"20-24"	349	282584	123.5
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Male"	"M"	"25-34 years"	"25-34"	867	527216	164.4
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Male"	"M"	"35-44 years"	"35-44"	1214	548902	221.2
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Male"	"M"	"45-54 years"	"45-54"	3419	702202	486.9
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Male"	"M"	"55-64 years"	"55-64"	6919	690294	1002.3
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Male"	"M"	"65-74 years"	"65-74"	9561	446097	2143.3
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Male"	"M"	"75-84 years"	"75-84"	12390	216704	5717.5
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Male"	"M"	"85+ years"	"85+"	11847	72751	16284.3
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Female"	"F"	"< 1 year"	"1"	925	246597	375.1
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Female"	"F"	"1-4 years"	"1-4"	159	1002837	15.9
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Female"	"F"	"5-9 years"	"5-9"	102	1300553	7.8
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Female"	"F"	"10-14 years"	"10-14"	102	1369155	7.4
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Female"	"F"	"15-19 years"	"15-19"	276	1601214	17.2
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Female"	"F"	"20-24 years"	"20-24"	628	1707906	36.8
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Female"	"F"	"25-34 years"	"25-34"	1757	3198653	54.9
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Female"	"F"	"35-44 years"	"35-44"	3146	3040113	103.5
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Female"	"F"	"45-54 years"	"45-54"	8283	3565714	232.3
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Female"	"F"	"55-64 years"	"55-64"	15985	3155277	506.6
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Female"	"F"	"65-74 years"	"65-74"	25395	2017281	1258.9
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Female"	"F"	"75-84 years"	"75-84"	46784	1221995	3828.5
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Female"	"F"	"85+ years"	"85+"	95530	729958	13087.1
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Male"	"M"	"< 1 year"	"1"	1216	258108	471.1
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Male"	"M"	"1-4 years"	"1-4"	164	1046224	15.7
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Male"	"M"	"5-9 years"	"5-9"	125	1355367	9.2
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Male"	"M"	"10-14 years"	"10-14"	156	1427078	10.9
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Male"	"M"	"15-19 years"	"15-19"	688	1628950	42.2
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Male"	"M"	"20-24 years"	"20-24"	1707	1712539	99.7
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Male"	"M"	"25-34 years"	"25-34"	4534	3153578	143.8
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Male"	"M"	"35-44 years"	"35-44"	5623	2901227	193.8
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Male"	"M"	"45-54 years"	"45-54"	13909	3384661	410.9
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Male"	"M"	"55-64 years"	"55-64"	25111	2908033	863.5
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Male"	"M"	"65-74 years"	"65-74"	32894	1726362	1905.4
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Male"	"M"	"75-84 years"	"75-84"	45935	866731	5299.8
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Male"	"M"	"85+ years"	"85+"	52865	344165	15360.4
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Female"	"F"	"< 1 year"	"1"	174	43309	401.8
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Female"	"F"	"1-4 years"	"1-4"	33	183114	18.0
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Female"	"F"	"5-9 years"	"5-9"	17	253427	6.7 (Unreliable)
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Female"	"F"	"10-14 years"	"10-14"	36	275299	13.1
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Female"	"F"	"15-19 years"	"15-19"	69	310184	22.2
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Female"	"F"	"20-24 years"	"20-24"	122	302035	40.4
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Female"	"F"	"25-34 years"	"25-34"	384	523564	73.3
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Female"	"F"	"35-44 years"	"35-44"	645	576979	111.8
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Female"	"F"	"45-54 years"	"45-54"	1831	758961	241.3
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Female"	"F"	"55-64 years"	"55-64"	3594	685138	524.6
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Female"	"F"	"65-74 years"	"65-74"	5760	420477	1369.9
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Female"	"F"	"75-84 years"	"75-84"	9395	230778	4071.0
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Female"	"F"	"85+ years"	"85+"	17068	126924	13447.4
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Male"	"M"	"< 1 year"	"1"	210	45366	462.9
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Male"	"M"	"1-4 years"	"1-4"	39	191225	20.4
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Male"	"M"	"5-9 years"	"5-9"	25	262180	9.5
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Male"	"M"	"10-14 years"	"10-14"	33	288151	11.5
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Male"	"M"	"15-19 years"	"15-19"	143	323122	44.3
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Male"	"M"	"20-24 years"	"20-24"	397	315652	125.8
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Male"	"M"	"25-34 years"	"25-34"	968	541659	178.7
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Male"	"M"	"35-44 years"	"35-44"	1153	567118	203.3
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Male"	"M"	"45-54 years"	"45-54"	2975	741356	401.3
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Male"	"M"	"55-64 years"	"55-64"	5796	667588	868.2
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Male"	"M"	"65-74 years"	"65-74"	7600	393891	1929.5
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Male"	"M"	"75-84 years"	"75-84"	9865	181067	5448.3
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Male"	"M"	"85+ years"	"85+"	10022	63897	15684.6
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Female"	"F"	"< 1 year"	"1"	214	37304	573.7
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Female"	"F"	"1-4 years"	"1-4"	19	152274	12.5 (Unreliable)
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Female"	"F"	"5-9 years"	"5-9"	14	199742	7.0 (Unreliable)
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Female"	"F"	"10-14 years"	"10-14"	20	209936	9.5
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Female"	"F"	"15-19 years"	"15-19"	47	265773	17.7
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Female"	"F"	"20-24 years"	"20-24"	72	283426	25.4
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Female"	"F"	"25-34 years"	"25-34"	284	470445	60.4
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Female"	"F"	"35-44 years"	"35-44"	487	457073	106.5
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Female"	"F"	"45-54 years"	"45-54"	1465	560877	261.2
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Female"	"F"	"55-64 years"	"55-64"	2953	508791	580.4
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Female"	"F"	"65-74 years"	"65-74"	4352	320442	1358.1
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Female"	"F"	"75-84 years"	"75-84"	7999	203491	3930.9
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Female"	"F"	"85+ years"	"85+"	17582	134369	13084.9
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Male"	"M"	"< 1 year"	"1"	248	39010	635.7
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Male"	"M"	"1-4 years"	"1-4"	31	160196	19.4
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Male"	"M"	"5-9 years"	"5-9"	23	209360	11.0
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Male"	"M"	"10-14 years"	"10-14"	27	220790	12.2
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Male"	"M"	"15-19 years"	"15-19"	94	265098	35.5
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Male"	"M"	"20-24 years"	"20-24"	263	288981	91.0
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Male"	"M"	"25-34 years"	"25-34"	665	477519	139.3
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Male"	"M"	"35-44 years"	"35-44"	930	439732	211.5
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Male"	"M"	"45-54 years"	"45-54"	2464	524434	469.8
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Male"	"M"	"55-64 years"	"55-64"	4634	468909	988.3
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Male"	"M"	"65-74 years"	"65-74"	5670	278327	2037.2
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Male"	"M"	"75-84 years"	"75-84"	7818	140241	5574.7
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"Male"	"M"	"85+ years"	"85+"	9597	60925	15752.2
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Female"	"F"	"< 1 year"	"1"	69	20353	339.0
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Female"	"F"	"1-4 years"	"1-4"	10	84685	11.8 (Unreliable)
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Female"	"F"	"10-14 years"	"10-14"	12	121681	9.9 (Unreliable)
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Female"	"F"	"15-19 years"	"15-19"	30	152185	19.7
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Female"	"F"	"20-24 years"	"20-24"	72	153830	46.8
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Female"	"F"	"25-34 years"	"25-34"	156	249141	62.6
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Female"	"F"	"35-44 years"	"35-44"	292	259168	112.7
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Female"	"F"	"45-54 years"	"45-54"	835	337818	247.2
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Female"	"F"	"55-64 years"	"55-64"	1804	336792	535.6
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Female"	"F"	"65-74 years"	"65-74"	2813	212043	1326.6
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Female"	"F"	"75-84 years"	"75-84"	4724	115964	4073.7
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Female"	"F"	"85+ years"	"85+"	8982	64189	13993.1
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Male"	"M"	"< 1 year"	"1"	113	22004	513.5
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Male"	"M"	"1-4 years"	"1-4"	25	90318	27.7
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Male"	"M"	"5-9 years"	"5-9"	13	120229	10.8 (Unreliable)
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Male"	"M"	"10-14 years"	"10-14"	21	128912	16.3
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Male"	"M"	"15-19 years"	"15-19"	92	160009	57.5
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Male"	"M"	"20-24 years"	"20-24"	176	165727	106.2
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Male"	"M"	"25-34 years"	"25-34"	373	250956	148.6
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Male"	"M"	"35-44 years"	"35-44"	496	252889	196.1
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Male"	"M"	"45-54 years"	"45-54"	1370	322948	424.2
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Male"	"M"	"55-64 years"	"55-64"	2847	325594	874.4
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Male"	"M"	"65-74 years"	"65-74"	3963	200178	1979.7
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Male"	"M"	"75-84 years"	"75-84"	5002	90885	5503.7
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"Male"	"M"	"85+ years"	"85+"	5098	31830	16016.3
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Female"	"F"	"< 1 year"	"1"	1487	356544	417.1
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Female"	"F"	"1-4 years"	"1-4"	245	1466651	16.7
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Female"	"F"	"5-9 years"	"5-9"	167	1904277	8.8
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Female"	"F"	"10-14 years"	"10-14"	187	1974453	9.5
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Female"	"F"	"15-19 years"	"15-19"	379	1981863	19.1
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Female"	"F"	"20-24 years"	"20-24"	829	1907969	43.4
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Female"	"F"	"25-34 years"	"25-34"	2277	3963824	57.4
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Female"	"F"	"35-44 years"	"35-44"	4382	4211682	104.0
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Female"	"F"	"45-54 years"	"45-54"	12138	4825782	251.5
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Female"	"F"	"55-64 years"	"55-64"	22655	4109231	551.3
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Female"	"F"	"65-74 years"	"65-74"	35329	2650836	1332.7
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Female"	"F"	"75-84 years"	"75-84"	61526	1617421	3804.0
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Female"	"F"	"85+ years"	"85+"	115725	901033	12843.6
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Male"	"M"	"< 1 year"	"1"	1846	372593	495.4
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Male"	"M"	"1-4 years"	"1-4"	323	1528805	21.1
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Male"	"M"	"5-9 years"	"5-9"	180	1983332	9.1
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Male"	"M"	"10-14 years"	"10-14"	234	2060255	11.4
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Male"	"M"	"15-19 years"	"15-19"	1028	2107092	48.8
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Male"	"M"	"20-24 years"	"20-24"	2522	2029216	124.3
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Male"	"M"	"25-34 years"	"25-34"	5695	4010870	142.0
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Male"	"M"	"35-44 years"	"35-44"	7336	4088505	179.4
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Male"	"M"	"45-54 years"	"45-54"	18882	4591987	411.2
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Male"	"M"	"55-64 years"	"55-64"	34178	3778069	904.6
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Male"	"M"	"65-74 years"	"65-74"	43919	2222361	1976.2
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Male"	"M"	"75-84 years"	"75-84"	60241	1131728	5322.9
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Male"	"M"	"85+ years"	"85+"	64999	434022	14976.0
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Male"	"M"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Female"	"F"	"< 1 year"	"1"	3660	809308	452.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Female"	"F"	"1-4 years"	"1-4"	586	3190262	18.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Female"	"F"	"5-9 years"	"5-9"	340	3940459	8.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Female"	"F"	"10-14 years"	"10-14"	391	4044611	9.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Female"	"F"	"15-19 years"	"15-19"	874	4432689	19.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Female"	"F"	"20-24 years"	"20-24"	1706	4965196	34.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Female"	"F"	"25-34 years"	"25-34"	4746	9849460	48.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Female"	"F"	"35-44 years"	"35-44"	9008	9014904	99.9
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Female"	"F"	"45-54 years"	"45-54"	25381	10103976	251.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Female"	"F"	"55-64 years"	"55-64"	49567	8989675	551.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Female"	"F"	"65-74 years"	"65-74"	76988	5884877	1308.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Female"	"F"	"75-84 years"	"75-84"	128815	3572042	3606.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Female"	"F"	"85+ years"	"85+"	239393	1974941	12121.5
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Female"	"F"	"Not Stated"	"NS"	60	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Male"	"M"	"< 1 year"	"1"	4427	845730	523.5
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Male"	"M"	"1-4 years"	"1-4"	679	3338011	20.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Male"	"M"	"5-9 years"	"5-9"	470	4120928	11.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Male"	"M"	"10-14 years"	"10-14"	594	4224766	14.1
